%time,field.data
1632350050369861545,0.0
1632350050377577066,0.0
1632350050389202275,0.0
1632350050401923264,0.0
1632350050414226285,0.0
1632350050423827327,0.0
1632350050435245452,0.0
1632350050446981181,0.0
1632350050454586129,0.0
1632350050468153160,0.0
1632350050478686025,0.0
1632350050487519097,0.0
1632350050501280191,0.0
1632350050511867743,0.0
1632350050526738160,0.0
1632350050533618941,0.0
1632350050543595504,0.0
1632350050558872743,0.0
1632350050566580816,0.0
1632350050577138525,0.0
1632350050591474462,0.0
1632350050598956441,0.0
1632350050612411337,0.0
1632350050625107691,0.0
1632350050631978472,0.0
1632350050643713472,0.0
1632350050656623941,0.0
1632350050665300295,0.0
1632350050676028264,0.0
1632350050689403316,0.0
1632350050699670816,0.0
1632350050708635399,0.0
1632350050722765556,0.0
1632350050732628264,0.0
1632350050742577535,0.0
1632350050754447743,0.0
1632350050766520347,0.0
1632350050781312274,0.0
1632350050787953524,0.0
1632350050797994774,0.0
1632350050811666077,0.0
1632350050820555139,0.0
1632350050831860087,0.0
1632350050845148785,0.0
1632350050853414462,0.0
1632350050864465556,0.0
1632350050879251962,0.0
1632350050885607743,0.0
1632350050898439045,0.0
1632350050908796962,0.0
1632350050918625660,0.0
1632350050930038941,0.0
1632350050941725035,0.0
1632350050955470139,0.0
1632350050963520087,0.0
1632350050973547431,0.0
1632350050988922326,0.0
1632350050996530660,0.0
1632350051008929879,0.0
1632350051022586962,0.0
1632350051029069201,0.0
1632350051041558837,0.0
1632350051054063576,0.0
1632350051065905764,0.0
1632350051074217639,0.0
1632350051085594722,0.0
1632350051097192014,0.0
1632350051106270816,0.0
1632350051117731076,0.0
1632350051131157483,0.0
1632350051139753160,0.0
1632350051153290712,0.0
1632350051164332743,0.0
1632350051173944670,0.0
1632350051183495295,0.0
1632350051196433264,0.0
1632350051208077378,0.0
1632350051217783003,0.0
1632350051227849306,0.0
1632350051243380347,0.0
1632350051251788003,0.0
1632350051261565503,0.0
1632350051277996597,0.0
1632350051281323524,0.0
1632350051295041389,0.0
1632350051307359097,0.0
1632350051316457066,0.0
1632350051326658264,0.0
1632350051341441545,0.0
1632350051346494930,0.0
1632350051362175555,0.0
1632350051371742014,0.0
1632350051385559253,0.0
1632350051393926076,0.0
1632350051404099878,0.0
1632350051419049358,0.0
1632350051428018160,0.0
1632350051437292274,0.0
1632350051451478889,0.0
1632350051463553785,0.0
1632350051474257795,0.0
1632350051482637639,0.0
1632350051497342951,0.0
1632350051504256910,0.0
1632350051517876910,0.0
1632350051528643732,0.0
1632350051537859514,0.0
1632350051549598055,0.0
1632350051562027535,0.0
1632350051569657118,0.0
1632350051582279878,0.0
1632350051596227378,0.0
1632350051603576024,0.0
1632350051613520243,0.0
1632350051627919201,0.0
1632350051638308628,0.0
1632350051648120243,0.0
1632350051660559045,0.0
1632350051671323941,0.0
1632350051680670816,0.0
1632350051691363107,0.0
1632350051705268264,0.0
1632350051717403107,0.0
1632350051726597951,0.0
1632350051735478264,0.0
1632350051751556337,0.0
1632350051759253680,0.0
1632350051768779670,0.0
1632350051783384045,0.0
1632350051790799045,0.0
1632350051802376389,0.0
1632350051816814566,0.0
1632350051824309826,0.0
1632350051836503368,0.0
1632350051846484149,0.0
1632350051856250607,0.0
1632350051870016909,0.0
1632350051881373368,0.0
1632350051893681493,0.0
1632350051901356128,0.0
1632350051914654982,0.0
1632350051925372847,0.0
1632350051935585295,0.0
1632350051944763784,0.0
1632350051959128211,0.0
1632350051968497378,0.0
1632350051978041545,0.0
1632350051991765920,0.0
1632350052000113159,0.0
1632350052010063576,0.0
1632350052026399409,0.0
1632350052035402222,0.0
1632350052045632691,0.0
1632350052055626128,0.0
1632350052069888889,0.0
1632350052077454618,0.0
1632350052089616545,0.0
1632350052102578680,0.0
1632350052114882170,0.0
1632350052124026597,0.0
1632350052134070243,0.0
1632350052148615451,0.0
1632350052153949513,0.0
1632350052167250034,0.0
1632350052179415347,0.0
1632350052187028368,0.0
1632350052201239097,0.0
1632350052212915659,0.0
1632350052222945868,0.0
1632350052231102326,0.0
1632350052246463368,0.0
1632350052254108680,0.0
1632350052265463159,0.0
1632350052278408159,0.0
1632350052286180972,0.0
1632350052299593159,0.0
1632350052310212066,0.0
1632350052323912899,0.0
1632350052331327951,0.0
1632350052343724357,0.0
1632350052356956388,0.0
1632350052369865659,0.0
1632350052376945659,0.0
1632350052387481180,0.0
1632350052402561597,0.0
1632350052411215711,0.0
1632350052423057638,0.0
1632350052435193576,0.0
1632350052444520763,0.0
1632350052452564097,0.0
1632350052466125920,0.0
1632350052477860555,0.0
1632350052486912899,0.0
1632350052499585711,0.0
1632350052513389826,0.0
1632350052519783524,0.0
1632350052532649722,0.0
1632350052543230815,0.0
1632350052554768003,0.0
1632350052563013732,0.0
1632350052578458368,0.0
1632350052586047274,0.0
1632350052596336597,0.0
1632350052611016076,0.0
1632350052622909201,0.0
1632350052631866753,0.0
1632350052643157847,0.0
1632350052653917326,0.0
1632350052663172899,0.0
1632350052677900607,0.0
1632350052686763055,0.0
1632350052701012013,0.0
1632350052708877638,0.0
1632350052720660451,0.0
1632350052730739670,0.0
1632350052743237274,0.0
1632350052752076076,0.0
1632350052766379930,0.0
1632350052772853263,0.0
1632350052786192638,0.0
1632350052796130972,0.0
1632350052806702117,0.0
1632350052817723055,0.0
1632350052831439044,0.0
1632350052839517847,0.0
1632350052851228836,0.0
1632350052862738055,0.0
1632350052879850242,0.0
1632350052882511857,0.0
1632350052896476492,0.0
1632350052910107638,0.0
1632350052917647690,0.0
1632350052927614774,0.0
1632350052942054044,0.0
1632350052950137534,0.0
1632350052961798211,0.0
1632350052974917169,0.0
1632350052986062899,0.0
1632350052995493940,0.0
1632350053005947169,0.0
1632350053020808732,0.0
1632350053027447065,0.0
1632350053039673159,0.0
1632350053050767586,0.0
1632350053061045867,0.0
1632350053073986180,0.0
1632350053084217065,0.0
1632350053091875346,0.0
1632350053105474409,0.0
1632350053118044461,0.0
1632350053129128419,0.0
1632350053139344044,0.0
1632350053148747274,0.0
1632350053162643680,0.0
1632350053237620971,0.0
1632350053240453419,0.0
1632350053241342326,0.0
1632350053247652430,0.0
1632350053260246284,0.0
1632350053269033940,0.0
1632350053281689826,0.136224001646
1632350053292996023,0.456831991673
1632350053306502690,0.566911995411
1632350053314355503,0.49673601985
1632350053326769513,0.332991987467
1632350053337785867,0.123839996755
1632350053347427430,0.0123840002343
1632350053360467117,0.020640000701
1632350053370102534,0.0784320011735
1632350053384581336,0.181631997228
1632350053394410763,0.140351995826
1632350053402908732,0.332991987467
1632350053417281492,0.410048007965
1632350053425437534,0.388031989336
1632350053436214565,0.388031989336
1632350053450932169,0.364639997482
1632350053458916492,0.361887991428
1632350053468917534,0.361887991428
1632350053481093575,0.415551990271
1632350053490955190,0.432063996792
1632350053502326492,0.50361597538
1632350053515567013,0.549023985863
1632350053524133784,0.558655977249
1632350053534548419,0.58342397213
1632350053547661232,0.587551951408
1632350053561534930,0.594431996346
1632350053569147065,0.602688014507
1632350053579415034,0.634336054325
1632350053593691180,0.653599977493
1632350053603330971,0.685248017311
1632350053612328732,0.703135967255
1632350053626701388,0.718271970749
1632350053636560815,0.719647943974
1632350053646523680,0.747167944908
1632350053656579669,0.762304008007
1632350053673281023,0.778815984726
1632350053679329565,0.803583979607
1632350053689512534,0.547648012638
1632350053704645555,0.850368022919
1632350053712813211,0.88752001524
1632350053724591596,0.882016003132
1632350053737338263,0.897152006626
1632350053745152065,0.93980795145
1632350053755332638,0.953568041325
1632350053768160346,0.986592054367
1632350053777274357,1.0196160078
1632350053790300971,1.02924799919
1632350053802582846,1.03337597847
1632350053814676596,1.04988801479
1632350053825245502,1.04988801479
1632350053833589044,1.04713606834
1632350053853482638,1.07603192329
1632350053855728888,1.08703994751
1632350053867132586,1.12006390095
1632350053879324773,1.13932800293
1632350053888757117,1.13520002365
1632350053900390034,1.15859210491
1632350053912484200,1.14070403576
1632350053923805138,1.16272008419
1632350053931071440,1.16272008419
1632350053945865450,0.804960012436
1632350053958595086,1.21363210678
1632350053965833471,1.25491201878
1632350053977970919,1.26041603088
1632350053990639877,0.855871975422
1632350054000205034,1.30582404137
1632350054011088054,1.3127040863
1632350054023787742,1.32646405697
1632350054031090294,0.888895988464
1632350054043346179,1.33472001553
1632350054055721023,1.34435200691
1632350054068862586,1.36086404324
1632350054074970763,1.40489602089
1632350054088455971,1.42003202438
1632350054099245607,1.41865599155
1632350054109714721,1.4159040451
1632350054122255867,1.43929588795
1632350054133960659,1.43241608143
1632350054140229877,1.44067192078
1632350054154226231,1.45580804348
1632350054166460554,1.46268796921
1632350054175971492,1.49708795547
1632350054186940659,1.52048003674
1632350054198950502,1.55212795734
1632350054210499200,1.56588804722
1632350054217982273,1.58790409565
1632350054232643888,1.58102405071
1632350054244914461,1.05676794052
1632350054252326231,1.57414400578
1632350054264020034,1.56451201439
1632350054276393471,1.5700160265
1632350054287006909,1.57276797295
1632350054298028784,1.58377599716
1632350054308619252,1.59478402138
1632350054324231909,1.61404800415
1632350054329996336,1.08428800106
1632350054340410867,1.66083192825
1632350054355831752,1.6938560009
1632350054364315502,1.70073604584
1632350054373566075,1.72275197506
1632350054387546283,1.72550392151
1632350054396492065,1.73100805283
1632350054406899408,1.72412800789
1632350054421362690,1.73375999928
1632350054429512898,1.74201607704
1632350054439087898,1.75715208054
1632350054455126961,1.76265597343
1632350054463958888,1.76678395271
1632350054473905502,1.77366399765
1632350054484470138,1.78467202187
1632350054497907742,1.80531203747
1632350054507311231,1.81907200813
1632350054517613783,1.84246397018
1632350054531213158,1.86585605145
1632350054543409461,1.88236796856
1632350054551456596,1.8892480135
1632350054562842481,1.87135994434
1632350054576670710,1.84521603584
1632350054584395867,1.22876799107
1632350054594711804,1.863104105
1632350054608100085,1.87823998928
1632350054623206804,1.91676807404
1632350054629701856,1.27280008793
1632350054641146752,1.93878400326
1632350054652413835,1.94153594971
1632350054660226492,1.9360319376
1632350054675602638,1.30169606209
1632350054685103783,1.98143994808
1632350054694753367,1.96492815018
1632350054707179148,1.96492815018
1632350054717460346,1.9869440794
1632350054728657325,2.00483202934
1632350054740524460,2.05024003983
1632350054753913471,2.02547192574
1632350054762121804,2.03235197067
1632350054770639929,2.02684807777
1632350054784443627,2.05299210548
1632350054797792690,2.06812787056
1632350054805912794,2.10665607452
1632350054816052377,2.10665607452
1632350054829527065,2.08326411247
1632350054839207012,2.06812787056
1632350054851957273,2.08051204681
1632350054863020658,2.06399989128
1632350054870615085,2.11491203308
1632350054881578262,1.40076804161
1632350054896456492,2.1217918396
1632350054906587169,2.14105606079
1632350054915603731,2.13555192947
1632350054929061960,2.15068817139
1632350054938902377,2.15343999863
1632350054948663315,2.1314239502
1632350054962133835,2.13968014717
1632350054972541752,1.45580804348
1632350054981335658,2.19747185707
1632350054993352273,2.2291200161
1632350055005108367,2.24425601959
1632350055014723523,2.2401278019
1632350055024841387,2.22223997116
1632350055038758106,2.19747185707
1632350055052560606,2.2401278019
1632350055060785658,2.24150395393
1632350055069979096,2.25388789177
1632350055084031387,2.2759039402
