%time,field.data
1632350261540257194,22.8551502228
1632350261548255892,22.8551502228
1632350261560140475,22.8551502228
1632350261574543027,22.8551502228
1632350261581972663,22.8551502228
1632350261593628132,22.8551502228
1632350261606767454,22.8551502228
1632350261617137350,22.8551502228
1632350261629248496,22.8551502228
1632350261638572715,22.8551502228
1632350261651714642,22.8551502228
1632350261660358079,22.8551502228
1632350261670486100,22.8551502228
1632350261683613184,22.8551502228
1632350261693132767,22.8551502228
1632350261703848913,22.8551502228
1632350261717283288,22.8551502228
1632350261725788913,22.8551502228
1632350261736583079,22.8551502228
1632350261750113913,22.8551502228
1632350261763049381,22.8551502228
1632350261771045423,22.8551502228
1632350261781238756,22.8551502228
1632350261795137611,22.8551502228
1632350261806454121,22.8551502228
1632350261816776569,22.8551502228
1632350261826886934,22.8551502228
1632350261836498913,22.8551502228
1632350261846851100,22.8551502228
1632350261859707819,22.8551502228
1632350261874957090,22.8551502228
1632350261881719329,22.8551502228
1632350261891879694,22.8551502228
1632350261906605579,22.8551502228
1632350261913761361,22.8551502228
1632350261925561100,22.8551502228
1632350261938855371,22.8551502228
1632350261951950267,22.8551502228
1632350261958690163,22.8551502228
1632350261969710736,22.8551502228
1632350261982350163,22.8551502228
1632350261990950527,22.8551502228
1632350262004602558,22.8551502228
1632350262016522142,22.8551502228
1632350262026674225,22.8551502228
1632350262035254798,22.8551502228
1632350262050016256,22.8551502228
1632350262061343392,22.8551502228
1632350262069480631,22.8551502228
1632350262079811048,22.8551502228
1632350262094152402,22.8551502228
1632350262102671985,22.8551502228
1632350262112996829,22.8551502228
1632350262126936985,22.8551502228
1632350262134462298,22.8551502228
1632350262147515683,22.8551502228
1632350262158527194,22.8551502228
1632350262166716360,22.8551502228
1632350262179820788,22.8551502228
1632350262190734381,22.8551502228
1632350262198824017,22.8551502228
1632350262213252610,22.8551502228
1632350262224803131,22.8551502228
1632350262237507454,22.8551502228
1632350262245450579,22.8551502228
1632350262258021100,22.8551502228
1632350262268924329,22.8551502228
1632350262278198392,22.8551502228
1632350262290743496,22.8551502228
1632350262302859225,22.8551502228
1632350262315580944,22.8551502228
1632350262323661465,22.8551502228
1632350262334506465,22.8551502228
1632350262347848340,22.8551502228
1632350262356948079,22.8551502228
1632350262367582402,22.8551502228
1632350262380085319,22.8551502228
1632350262389364017,22.8551502228
1632350262400456308,22.8551502228
1632350262412451569,22.8551502228
1632350262421363965,22.8551502228
1632350262434859902,22.8551502228
1632350262445157298,22.8551502228
1632350262454010892,22.8551502228
1632350262467332090,22.8551502228
1632350262478023965,22.8551502228
1632350262491172558,22.8551502228
1632350262498981829,22.8551502228
