%time,field.data
1632350198086992531,0.0
1632350198095645343,0.0
1632350198108348833,0.0
1632350198118949927,0.0
1632350198126765291,0.0
1632350198141066229,0.0
1632350198152667635,0.0
1632350198163613364,0.0
1632350198172982479,0.0
1632350198183690968,0.0
1632350198198723572,0.0
1632350198207347427,0.0
1632350198217058416,0.0
1632350198230344979,0.0
1632350198241985135,0.0
1632350198250896802,0.0
1632350198262881645,0.0
1632350198276064354,0.0
1632350198283754874,0.0
1632350198295465395,0.0
1632350198308971333,0.0
1632350198316763676,0.0
1632350198328134666,0.0
1632350198341115291,0.0
1632350198350854510,0.0
1632350198362426437,0.0
1632350198376116906,0.0
1632350198382317947,0.0
1632350198395752010,0.0
1632350198405336176,0.0
1632350198420371072,0.0
1632350198428607635,0.0
1632350198438043520,0.0
1632350198451981176,0.0
1632350198460808468,0.0
1632350198471363416,0.0
1632350198485373520,0.0
1632350198497219041,0.0
1632350198507655968,0.0
1632350198516167218,0.0
1632350198526570239,0.0
1632350198538043156,0.0
1632350198549947062,0.0
1632350198561869093,0.0
1632350198576136697,0.0
1632350198584123103,0.0
1632350198594092010,0.0
1632350198607550083,0.0
1632350198615492322,0.0
1632350198627079770,0.0
1632350198641090916,0.0
1632350198649658989,0.0
1632350198659046853,0.0
1632350198672471176,0.0
1632350198681947791,0.0
1632350198692392583,0.0
1632350198708383051,0.0
1632350198716761749,0.0
1632350198724764614,0.0
1632350198740590760,0.0
1632350198749607895,0.0
1632350198758573728,0.0
1632350198770219666,0.0
1632350198783125812,0.0
1632350198792459405,0.0
1632350198804155291,0.0
1632350198817630864,0.0
1632350198825671593,0.0
1632350198836260499,0.0
1632350198849745760,0.0
1632350198861380864,0.0
1632350198873379874,0.0
1632350198880321228,0.0
1632350198893641385,0.0
1632350198903362947,0.0
1632350198913583885,0.0
1632350198928038051,0.0
1632350198935306958,0.0
1632350198946172895,0.0
1632350198960242895,0.0
1632350198973987947,0.0
1632350198981094405,0.0
1632350198991182635,0.0
1632350199005332114,0.0
1632350199013728885,0.0
1632350199026755603,0.0
1632350199036468624,0.0
1632350199044592374,0.0
1632350199060444249,0.0
1632350199069375447,0.0
1632350199078991749,0.0
1632350199089398364,0.0
