%time,field.data
1632350867713570348,56.3384819031
1632350867723860557,56.3384819031
1632350867732348317,56.3384819031
1632350867744771129,56.3384819031
1632350867757678838,56.3384819031
1632350867765398525,56.3384819031
1632350867777922379,56.3384819031
1632350867790035504,56.3384819031
1632350867798384723,56.3384819031
1632350867813907640,56.3384819031
1632350867822294515,56.3384819031
1632350867830433473,56.3384819031
1632350867843433421,56.3384819031
1632350867856486025,56.3384819031
1632350867867965504,56.3384819031
1632350867876861598,56.3384819031
1632350867887606129,56.3384819031
1632350867899953265,56.3384819031
1632350867908805504,56.3384819031
1632350867919841338,56.3384819031
1632350867933401286,56.3384819031
1632350867942585348,56.3384819031
1632350867957413004,56.3384819031
1632350867967720713,56.3384819031
1632350867974565504,56.3384819031
1632350867985305973,56.3384819031
1632350867999052796,56.3384819031
1632350868010409515,56.3384819031
1632350868018288681,56.3384819031
1632350868031736702,56.3384819031
1632350868044570036,56.3384819031
1632350868053258577,56.3384819031
1632350868063578942,56.3384819031
1632350868077101442,56.3384819031
1632350868083762171,56.3384819031
1632350868097597848,56.3384819031
1632350868110644411,56.3384819031
1632350868122880088,56.3384819031
1632350868129255817,56.3384819031
1632350868140775921,56.3384819031
1632350868156360556,56.3384819031
1632350868163547327,56.3384819031
1632350868174458473,56.3384819031
1632350868187688056,56.3384819031
1632350868195829619,56.3384819031
1632350868206391390,56.3384819031
1632350868222062483,56.3384819031
1632350868228882640,56.3384819031
1632350868240770296,56.3384819031
1632350868252907536,56.3384819031
1632350868260569150,56.3384819031
1632350868274906181,56.3384819031
1632350868286673942,56.3384819031
1632350868297055765,56.3384819031
1632350868307316077,56.3384819031
1632350868317723056,56.3384819031
1632350868331990869,56.3384819031
1632350868339141338,56.3384819031
1632350868351162900,56.3384819031
1632350868362655400,56.3384819031
1632350868375413369,56.3384819031
1632350868384303108,56.3384819031
1632350868396629671,56.3384819031
1632350868408061910,56.3384819031
1632350868415154358,56.3384819031
1632350868428644983,56.3384819031
1632350868440391494,56.3384819031
1632350868449404046,56.3384819031
1632350868460805452,56.3384819031
1632350868475106702,56.3384819031
1632350868484472223,56.3384819031
1632350868495338785,56.3384819031
1632350868506068994,56.3384819031
1632350868517682379,56.3384819031
1632350868526872327,56.3384819031
1632350868541075035,56.3384819031
1632350868551950921,56.3384819031
1632350868560123108,56.3384819031
1632350868571013681,56.3384819031
1632350868584075765,56.3384819031
1632350868593992275,56.3384819031
1632350868604604358,56.3384819031
1632350868618530400,56.3384819031
1632350868626098108,56.3384819031
1632350868636070608,56.3384819031
1632350868650755348,56.3384819031
1632350868663097275,56.3384819031
1632350868671523837,56.3384819031
1632350868681895244,56.3384819031
1632350868695353265,56.3384819031
1632350868704322640,56.3384819031
1632350868715528994,56.3384819031
1632350868727220087,56.3384819031
1632350868736116337,56.3384819031
1632350868747379567,56.3384819031
1632350868761856858,56.3384819031
1632350868770917952,56.3384819031
1632350868780420608,56.3384819031
1632350868793727639,56.3384819031
1632350868806734671,56.3384819031
1632350868814571754,56.3384819031
1632350868826864046,56.3384819031
1632350868837520087,56.3384819031
1632350868846458369,56.3384819031
1632350868857505921,56.3384819031
1632350868872077952,56.3384819031
1632350868879751025,56.3384819031
1632350868891705660,56.3384819031
1632350868907453212,56.3384819031
1632350868913186025,56.3384819031
1632350868923850973,56.3384819031
1632350868937098160,56.3384819031
1632350868943926441,56.3384819031
1632350868958084566,56.3384819031
1632350868969613473,56.3384819031
1632350868983091129,56.3384819031
1632350868990513108,56.3384819031
1632350869003150660,56.3384819031
1632350869013713785,56.3384819031
1632350869022870400,56.3384819031
1632350869037822952,56.3384819031
1632350869047764879,56.3384819031
1632350869058376546,56.3384819031
1632350869067430244,56.3384819031
1632350869080056233,56.3384819031
1632350869091895191,56.3384819031
1632350869101385973,56.3389701843
1632350869111781806,56.3420906067
1632350869125397691,56.3472671509
1632350869133361598,56.3539581299
1632350869147657275,56.3582954407
1632350869158574046,56.360496521
1632350869166320712,56.3607444763
1632350869177444827,56.3607444763
1632350869191332275,56.3608627319
1632350869199896493,56.3614349365
1632350869210288525,56.3626327515
1632350869223683837,56.3649902344
1632350869235121337,56.3687095642
1632350869243575452,56.3737411499
1632350869255964410,56.3781661987
1632350869268971493,56.382270813
1632350869277202014,56.3864822388
1632350869288548056,56.3898124695
1632350869300841441,56.3926620483
1632350869312962900,56.396030426
1632350869323018681,56.4002685547
1632350869333018368,56.4053611755
1632350869347477848,56.411151886
1632350869356352952,56.4167709351
1632350869366093056,56.422416687
1632350869379277900,56.4284896851
1632350869387345816,56.4347953796
1632350869397940452,56.4398994446
1632350869412917900,56.445640564
1632350869422246285,56.4511909485
1632350869431347014,56.4578208923
1632350869444434150,56.4656448364
1632350869452634775,56.4719085693
1632350869465257848,56.4797325134
1632350869477744514,56.487613678
1632350869489885608,56.496257782
1632350869498539306,56.504108429
1632350869509331806,56.5112533569
1632350869523072275,56.5185890198
1632350869531203889,56.5277328491
1632350869543751337,56.5365600586
1632350869555867535,56.5449523926
1632350869563464098,56.5536727905
1632350869577218160,56.563495636
1632350869587116806,56.5742988586
1632350869596576129,56.5832595825
1632350869610166702,56.5922698975
1632350869619058993,56.6040039062
1632350869633852222,56.6132621765
1632350869641960191,56.6238861084
1632350869652496493,56.6340255737
1632350869666178056,56.6445465088
1632350869675684566,56.656539917
1632350869686820087,56.6697463989
1632350869700351181,56.6818771362
1632350869708644827,56.6918067932
1632350869717861129,56.7040252686
1632350869731634097,56.7165184021
1632350869743025035,56.7304763794
1632350869751883941,56.7423667908
1632350869763676181,56.7543907166
1632350869776996806,56.7677497864
1632350869786503681,56.7824897766
1632350869797208733,56.7962265015
1632350869808529358,56.8088760376
1632350869818455087,56.8217277527
1632350869829854722,56.8359870911
1632350869841982118,56.8517074585
1632350869851724358,56.8650283813
1632350869861798472,56.8786315918
1632350869876019879,56.8938140869
1632350869884041285,56.909324646
1632350869893886129,56.9250640869
1632350869909069618,56.9395637512
1632350869920413889,56.9586334229
1632350869928300868,56.9734458923
1632350869939106649,56.9899024963
1632350869952655920,57.0050582886
1632350869960778889,57.0219345093
1632350869974522170,57.0375022888
1632350869984402691,57.0564575195
1632350869997681337,57.0741233826
1632350870009692639,57.0887641907
1632350870016354566,57.1066932678
1632350870031102066,57.1247062683
1632350870042540295,57.1445465088
1632350870051924826,57.1612472534
1632350870061838108,57.1779899597
1632350870072311076,57.1964797974
1632350870084265972,57.2151031494
1632350870096784983,57.2341537476
1632350870109003368,57.2519378662
1632350870115086597,57.2719802856
1632350870127055399,57.292350769
1632350870142324097,57.3145561218
1632350870150356649,57.3329124451
1632350870161710087,57.3511314392
1632350870173928941,57.3712539673
1632350870182248785,57.3918762207
1632350870194663629,57.4132804871
1632350870209128212,57.4333992004
1632350870217854514,57.4558258057
1632350870227478524,57.4782600403
1632350870239299410,57.5002441406
1632350870249725608,57.5200920105
1632350870260214826,57.5457191467
1632350870272778524,57.5657958984
1632350870284563056,57.5885734558
1632350870297089670,57.6121292114
1632350870306776493,57.6318435669
1632350870317129931,57.6560516357
1632350870329412899,57.6799621582
1632350870337751233,57.70545578
1632350870349643681,57.7287254333
1632350870361600608,57.7501907349
1632350870370638368,57.7723503113
1632350870383055087,57.7998580933
1632350870393837170,57.8232116699
1632350870404523264,57.8466033936
1632350870414968368,57.872089386
1632350870428456441,57.8971939087
1632350870437266962,57.9245529175
1632350870448179253,57.9478530884
1632350870460042326,57.9718170166
1632350870472054983,57.9987030029
1632350870482896441,58.0258102417
1632350870492050608,58.0525474548
1632350870507066180,58.0766677856
1632350870514148160,58.1035308838
1632350870525470035,58.1312828064
1632350870539765451,58.1597099304
1632350870548128160,58.1857681274
1632350870557986441,58.2192306519
1632350870570637378,58.2446060181
1632350870585618680,58.2699012756
1632350870592886389,58.3006401062
1632350870606446701,58.3268013
1632350870615415816,58.3533248901
1632350870622792535,58.3826332092
1632350870637639774,58.4117736816
1632350870649249462,58.4410438538
1632350870656866805,58.4682807922
1632350870669864149,58.4991111755
1632350870683626753,58.5333557129
1632350870689956805,58.5618133545
1632350870702402587,58.5898284912
1632350870713472274,58.6203193665
1632350870726643628,58.6510353088
1632350870735445660,58.6823387146
1632350870745525295,58.7140846252
1632350870760002587,58.7432250977
1632350870768164357,58.7753982544
1632350870779270920,58.804775238
1632350870792160712,58.8404579163
1632350870802430243,58.8704872131
1632350870812395764,58.9033737183
1632350870825658003,58.9361038208
1632350870833731545,58.9659919739
1632350870844095764,59.002407074
1632350870858633576,59.0333595276
1632350870867087899,59.0675964355
1632350870878481232,59.0985336304
1632350870891255399,59.135559082
1632350870901525399,59.1731185913
1632350870910087482,59.2049636841
1632350870923991076,59.2433509827
1632350870935004618,59.2751731873
1632350870942515920,59.3068771362
1632350870955960087,59.3418769836
1632350870966827378,59.3741455078
1632350870981336545,59.4099235535
1632350870989573420,59.448890686
1632350870999901701,59.4816246033
1632350871015713993,59.5148887634
1632350871021227951,59.5519599915
1632350871033451337,59.5890350342
1632350871047196962,59.6258888245
1632350871056555295,59.6595726013
1632350871065189305,59.6970443726
1632350871079805659,59.7315673828
1632350871088416597,59.7729492188
1632350871099578941,59.807384491
1632350871110631232,59.8455924988
1632350871118699878,59.8845214844
1632350871132159461,59.9238090515
1632350871144123055,59.9627990723
1632350871158428732,59.9980583191
1632350871165908003,60.0370063782
1632350871175879409,60.072681427
1632350871189481441,60.1156768799
1632350871197907014,60.1550598145
1632350871210027378,60.1913528442
1632350871223782326,60.2319984436
1632350871235753368,60.2728843689
1632350871244378889,60.3133277893
1632350871254780711,60.3499412537
1632350871268636441,60.3904380798
1632350871276347951,60.4310035706
