%time,field.data
1632350650195163817,14.2168130875
1632350650202798452,14.2168130875
1632350650217063921,14.2168130875
1632350650229532098,14.2168130875
1632350650236272254,14.2168130875
1632350650248232619,14.2168130875
1632350650261903869,14.2168130875
1632350650268557827,14.2168130875
1632350650281979181,14.2168130875
1632350650295455379,14.2168130875
1632350650302035223,14.2168130875
1632350650313997775,14.2168130875
1632350650326546577,14.2168130875
1632350650340503660,14.2168130875
1632350650346438192,14.2168130875
1632350650360496317,14.2168130875
1632350650370787306,14.2168130875
1632350650379703035,14.2168130875
1632350650391326473,14.2168130875
1632350650405497306,14.2168130875
1632350650415939858,14.2168130875
1632350650425280483,14.2168130875
1632350650437223452,14.2168130875
1632350650448945692,14.2168130875
1632350650456957931,14.2168130875
1632350650470712931,14.2168130875
1632350650483181889,14.2168130875
1632350650490623191,14.2168130875
1632350650506003452,14.2168130875
1632350650514660431,14.2168130875
1632350650522478921,14.2168130875
1632350650536256264,14.2168130875
1632350650547348504,14.2168130875
1632350650554410066,14.2168130875
1632350650569442410,14.2168130875
1632350650581693191,14.2168130875
1632350650592333764,14.2168130875
1632350650601397462,14.2168130875
1632350650612144441,14.2168130875
1632350650626093816,14.2168130875
1632350650634633712,14.2168130875
1632350650646465900,14.2168130875
1632350650658410744,14.2168130875
1632350650666703348,14.2168130875
1632350650679335848,14.2168130875
1632350650691401316,14.2168130875
1632350650704424181,14.2168130875
1632350650712075639,14.2168130875
1632350650723859129,14.2168130875
1632350650735735848,14.2168130875
1632350650745926941,14.2168130875
1632350650756444598,14.2168130875
1632350650769722671,14.2168130875
1632350650777023712,14.2168130875
1632350650790687358,14.2168130875
1632350650803278816,14.2168130875
1632350650809238191,14.2168130875
1632350650822264493,14.2168130875
1632350650835204702,14.2168130875
1632350650847605171,14.2168130875
1632350650855807046,14.2168130875
1632350650866270066,14.2168130875
1632350650880924025,14.2168130875
1632350650888526160,14.2168130875
1632350650900243921,14.2168130875
1632350650913076108,14.2168130875
1632350650920739129,14.2168130875
1632350650931491056,14.2168130875
1632350650947200327,14.2168130875
1632350650956288295,14.2168130875
1632350650964838400,14.2168130875
1632350650980587566,14.2168130875
1632350650988810900,14.2168130875
1632350650998456160,14.2168130875
1632350651009970795,14.2168130875
1632350651024035327,14.2168130875
1632350651032098139,14.2168130875
1632350651043584441,14.2168130875
1632350651054011733,14.2168130875
1632350651064396629,14.2168130875
1632350651077135639,14.2168130875
1632350651088887723,14.2168130875
1632350651099939181,14.2168130875
1632350651111184493,14.2168130875
1632350651120549337,14.2168130875
1632350651134347514,14.2168130875
1632350651141725587,14.2168130875
1632350651152434025,14.2168130875
1632350651170557306,14.2168130875
1632350651175891212,14.2168130875
1632350651187632827,14.2168130875
1632350651198084441,14.2168130875
1632350651206130014,14.2168130875
1632350651220229025,14.2168130875
1632350651232900795,14.2168130875
1632350651244592618,14.2168130875
1632350651252362931,14.2168130875
1632350651264109962,14.2168130875
1632350651275374493,14.2168130875
1632350651285731629,14.2168130875
1632350651298035483,14.2168130875
1632350651308530743,14.2168130875
1632350651321905952,14.2168130875
1632350651331370900,14.2171840668
1632350651341737306,14.2200164795
1632350651355259025,14.2252864838
1632350651363223764,14.230966568
1632350651373745222,14.2350883484
1632350651387166941,14.2376871109
1632350651401152827,14.237865448
1632350651409495170,14.237862587
1632350651419460899,14.237862587
1632350651431449858,14.237912178
1632350651440820327,14.2385702133
1632350651452514545,14.2406206131
1632350651465464389,14.244137764
1632350651472813556,14.2492446899
1632350651486210222,14.2549524307
1632350651497551681,14.2591848373
1632350651506964493,14.2626552582
1632350651518973608,14.2654237747
1632350651531641681,14.2680273056
1632350651539938191,14.2702121735
1632350651550571629,14.2735805511
1632350651564014754,14.2780857086
1632350651575520847,14.2836284637
1632350651582839024,14.2902526855
1632350651596867462,14.2957754135
1632350651608031837,14.3010129929
1632350651617791212,14.3063325882
1632350651628242566,14.3117485046
1632350651641984701,14.3163805008
1632350651648560691,14.3213224411
1632350651662728660,14.3287887573
1632350651676234910,14.3351955414
1632350651687026316,14.3426866531
1632350651694774962,14.3497953415
1632350651705559910,14.3568868637
1632350651719262097,14.3645067215
1632350651728381368,14.3719654083
1632350651738897410,14.3800945282
1632350651751809910,14.3863525391
1632350651760034649,14.3943996429
1632350651773396993,14.4030294418
1632350651785096993,14.4128789902
1632350651793541889,14.4213409424
1632350651805819024,14.4314937592
1632350651818277514,14.4399032593
1632350651829391212,14.4490871429
1632350651838213868,14.4582901001
1632350651851587931,14.4668645859
1632350651861449493,14.4757127762
1632350651870880899,14.4859228134
1632350651882462670,14.4975881577
1632350651897194441,14.5076246262
1632350651904338920,14.5178756714
1632350651914597774,14.5293188095
1632350651928231993,14.5409078598
1632350651937778868,14.552488327
1632350651947840951,14.5631027222
1632350651963079128,14.5770683289
1632350651971874649,14.5881185532
1632350651981542358,14.6006393433
1632350651993159128,14.6122694016
1632350652007456576,14.6251411438
1632350652014638712,14.6367816925
1632350652025867722,14.6495952606
1632350652039193295,14.663640976
1632350652047290430,14.6743488312
1632350652059661368,14.6876659393
1632350652072859753,14.7014398575
1632350652082724962,14.7170248032
1632350652091776889,14.7305116653
1632350652102386889,14.7442531586
1632350652117403295,14.7595014572
1632350652125592618,14.7745246887
1632350652135761264,14.7891654968
1632350652148968608,14.8022260666
1632350652158267201,14.8165006638
1632350652168963503,14.8311853409
1632350652182460743,14.848077774
1632350652190509545,14.8629875183
1632350652201389337,14.8786306381
1632350652215757305,14.8964271545
1632350652223487410,14.9144258499
1632350652236324128,14.932258606
1632350652249148660,14.948225975
1632350652260482982,14.9653759003
1632350652267963764,14.9822568893
1632350652280581107,14.9975414276
1632350652292565118,15.0162086487
1632350652301280951,15.0355434418
1632350652311917774,15.0524187088
1632350652325018399,15.0699605942
1632350652336964337,15.0915908813
1632350652346523035,15.1079654694
1632350652357260326,15.1278295517
1632350652372647618,15.1472806931
1632350652377327982,15.1679010391
1632350652390664857,15.1865844727
1632350652404330795,15.2038450241
1632350652411945951,15.2218647003
1632350652422352253,15.2429208755
1632350652436538087,15.2651042938
1632350652445905118,15.2858247757
1632350652456606420,15.3084869385
1632350652468327670,15.330332756
1632350652476302722,15.349395752
1632350652488163972,15.3716783524
1632350652503000482,15.3905544281
1632350652513131732,15.4121332169
1632350652521775691,15.4349222183
1632350652534815795,15.4586467743
1632350652546290482,15.4805335999
1632350652556494232,15.5043001175
1632350652568630066,15.5274829865
1632350652581633399,15.5502252579
1632350652588386003,15.5731554031
1632350652598486680,15.5990848541
1632350652612965691,15.6216478348
1632350652623810378,15.6448335648
1632350652632125899,15.6704244614
1632350652644932357,15.6954984665
1632350652659112982,15.717792511
1632350652665668347,15.7421445847
1632350652677321472,15.7691640854
1632350652689381211,15.7924404144
1632350652698815222,15.8162641525
1632350652709124753,15.842625618
1632350652722284336,15.8687067032
1632350652732097618,15.8945608139
1632350652743891680,15.9205646515
1632350652754556889,15.9449148178
1632350652769084232,15.9726190567
1632350652776473347,15.9984359741
1632350652788088139,16.0293159485
1632350652803228503,16.0546970367
1632350652809141055,16.0821590424
1632350652819681732,16.107213974
1632350652833229389,16.1354026794
1632350652842319753,16.166759491
1632350652854477409,16.1931781769
1632350652868050951,16.2220573425
1632350652874647514,16.2482700348
1632350652885729649,16.2802429199
1632350652902374076,16.3077030182
1632350652909723295,16.3384361267
1632350652919887878,16.3663063049
1632350652930667305,16.3991928101
1632350652943651888,16.4289531708
1632350652953729336,16.4561595917
1632350652963980013,16.4867095947
1632350652975492878,16.5178527832
1632350652985030274,16.5491733551
1632350652997773711,16.5774860382
1632350653008633555,16.6087722778
1632350653022330430,16.6405601501
1632350653030227357,16.6757850647
1632350653040629701,16.7051906586
1632350653054487566,16.7343940735
1632350653061902982,16.7664833069
1632350653074725430,16.7991771698
1632350653087712566,16.8325481415
1632350653095657982,16.8632183075
1632350653108666993,16.8966522217
1632350653121232357,16.9267559052
1632350653128538034,16.960018158
1632350653140463815,16.9971256256
1632350653153290795,17.0288772583
1632350653161423295,17.0638751984
1632350653173814493,17.0954322815
1632350653185801680,17.1330471039
1632350653199471368,17.1648349762
1632350653206093034,17.2003192902
1632350653219528555,17.2327976227
1632350653231141784,17.2681312561
1632350653239592565,17.3066062927
1632350653253251159,17.3392753601
1632350653261783711,17.3758945465
1632350653277602670,17.4125728607
1632350653283180743,17.4488964081
1632350653296352409,17.4852619171
1632350653306986159,17.5187721252
1632350653318224493,17.5559024811
1632350653328226836,17.5928764343
1632350653341593138,17.6262607574
1632350653350756315,17.6634998322
1632350653360321211,17.7018909454
1632350653373610690,17.7408695221
1632350653382797409,17.7792797089
1632350653394110742,17.8137378693
1632350653407080013,17.851568222
1632350653415072461,17.8863735199
1632350653427798190,17.9246807098
1632350653438696576,17.966053009
1632350653452032774,18.000837326
1632350653459356680,18.0361785889
1632350653474573659,18.0759811401
1632350653484056315,18.1194972992
1632350653493613815,18.1557445526
1632350653504245378,18.1960525513
1632350653517507409,18.2333126068
1632350653524326784,18.2742881775
1632350653539060117,18.3183460236
1632350653552952305,18.3552188873
1632350653559088659,18.3926582336
1632350653569274544,18.4343681335
1632350653582774805,18.4796085358
1632350653596401992,18.5210151672
1632350653607541992,18.5590305328
1632350653614468034,18.6010761261
1632350653626528607,18.6389694214
1632350653639693711,18.6841640472
1632350653648983919,18.7226104736
1632350653661316315,18.7655715942
1632350653669427097,18.804857254
1632350653680198763,18.8477706909
1632350653693394753,18.8946647644
1632350653705326159,18.933889389
1632350653714486836,18.9767303467
1632350653726723294,19.0154781342
1632350653739264805,19.0626335144
1632350653754473399,19.1029758453
1632350653760068763,19.1435165405
1632350653772001836,19.1878128052
1632350653784050742,19.2322826385
1632350653792609649,19.2810535431
1632350653805050169,19.3216247559
1632350653817709232,19.3617763519
1632350653823969753,19.4103946686
1632350653837206107,19.4558563232
1632350653850884596,19.4973773956
1632350653855941992,19.5387649536
1632350653870547982,19.5845222473
