%time,field.data
1632350836591479110,21.0575408936
1632350836605063016,21.0575408936
1632350836610881558,21.0575408936
1632350836624273433,21.0575408936
1632350836636342079,21.0575408936
1632350836651144787,21.0575408936
1632350836657117964,21.0575408936
1632350836669290933,21.0575408936
1632350836681188173,21.0575408936
1632350836690441766,21.0575408936
1632350836701229527,21.0575408936
1632350836715750620,21.0575408936
1632350836724287860,21.0575408936
1632350836734342131,21.0575408936
1632350836747927235,21.0575408936
1632350836754372443,21.0575408936
1632350836767754266,21.0575408936
1632350836778243850,21.0575408936
1632350836792633589,21.0575408936
1632350836801107287,21.0575408936
1632350836811332391,21.0575408936
1632350836824934058,21.0575408936
1632350836834752079,21.0575408936
1632350836845863850,21.0575408936
1632350836858759891,21.0575408936
1632350836865847183,21.0575408936
1632350836877639995,21.0575408936
1632350836889543381,21.0575408936
1632350836899123589,21.0575408936
1632350836911743485,21.0575408936
1632350836923417652,21.0575408936
1632350836935706454,21.0575408936
1632350836943649631,21.0575408936
1632350836959913850,21.0575408936
1632350836967469162,21.0575408936
1632350836980224995,21.0575408936
1632350836988867131,21.0575408936
1632350836999553433,21.0575408936
1632350837008619891,21.0575408936
1632350837022473850,21.0575408936
1632350837034178850,21.0575408936
1632350837047479631,21.0575408936
1632350837054107391,21.0575408936
1632350837067167339,21.0575408936
1632350837079134943,21.0575408936
1632350837090861922,21.0575408936
1632350837099647443,21.0575408936
1632350837110251297,21.0575408936
1632350837124371506,21.0575408936
1632350837133396766,21.0575408936
1632350837144284474,21.0575408936
1632350837155454891,21.0575408936
1632350837165783902,21.0575408936
1632350837178280152,21.0575408936
1632350837189680672,21.0575408936
1632350837197855620,21.0575408936
1632350837208836037,21.0575408936
1632350837223215256,21.0575408936
1632350837229733589,21.0575408936
1632350837243263641,21.0575408936
1632350837255868068,21.0575408936
1632350837268458120,21.0575408936
1632350837276803745,21.0575408936
1632350837287221401,21.0575408936
1632350837301044787,21.0575408936
1632350837307985047,21.0575408936
1632350837320511714,21.0575408936
1632350837332925672,21.0575408936
1632350837344420776,21.0575408936
1632350837355029839,21.0575408936
1632350837364588016,21.0575408936
1632350837377601974,21.0575408936
1632350837385729735,21.0575408936
1632350837398986297,21.0575408936
1632350837410996193,21.0575408936
1632350837418999683,21.0575408936
1632350837429519162,21.0575408936
1632350837445687860,21.0575408936
1632350837450846662,21.0575408936
1632350837462754526,21.0575408936
1632350837476342339,21.0575408936
1632350837484584006,21.0575408936
1632350837496814683,21.0575408936
1632350837508002287,21.0575408936
1632350837520646766,21.0575408936
1632350837529503120,21.0575408936
1632350837540436870,21.0575408936
1632350837557793797,21.0575408936
1632350837562748120,21.0575408936
1632350837573859006,21.0575408936
1632350837586646558,21.0575408936
1632350837594812443,21.0575408936
1632350837607644735,21.0575408936
1632350837618866610,21.0575408936
1632350837631864578,21.0575408936
1632350837639968693,21.0575408936
1632350837650641506,21.0575408936
1632350837665430047,21.0575408936
1632350837675385256,21.0575408936
1632350837684182183,21.0575408936
1632350837699553224,21.0575408936
1632350837707124526,21.0575408936
1632350837717361141,21.0575408936
1632350837731468901,21.0575408936
1632350837739725203,21.0578136444
1632350837749491089,21.0605773926
1632350837764272130,21.0671043396
1632350837775675620,21.0755939484
1632350837783743380,21.0837535858
1632350837795768485,21.0876064301
1632350837806427651,21.0882205963
1632350837816534214,21.0875358582
1632350837829231297,21.0873737335
1632350837840133745,21.0875091553
1632350837849949214,21.0882759094
1632350837859731818,21.0894546509
1632350837874547078,21.0920372009
1632350837883071349,21.096446991
1632350837894149110,21.1013240814
1632350837907492547,21.1078529358
1632350837917031714,21.1122932434
1632350837928050255,21.1159534454
1632350837940490307,21.1197032928
1632350837950472547,21.122631073
1632350837960089057,21.1259269714
1632350837971823797,21.130317688
1632350837982478328,21.1362457275
1632350837994027339,21.1419677734
1632350838004239839,21.1480140686
1632350838015749214,21.1546096802
1632350838029842547,21.1609611511
1632350838037516610,21.1670913696
1632350838050122130,21.1725692749
1632350838062280360,21.1787757874
1632350838069102964,21.1853561401
1632350838083312026,21.1918830872
1632350838094435203,21.2002906799
1632350838105376610,21.2077026367
1632350838116106818,21.2161006927
1632350838127688172,21.2237606049
1632350838135942235,21.2320976257
1632350838147162130,21.2410259247
1632350838158506662,21.2484169006
1632350838169817964,21.2566356659
1632350838179788589,21.2644462585
1632350838193853068,21.2742443085
1632350838204397547,21.2828674316
1632350838213325255,21.2926940918
1632350838227108901,21.3019008636
1632350838237143016,21.3131465912
1632350838246392443,21.3235225677
1632350838257414474,21.3329811096
1632350838270243380,21.3433151245
1632350838283723016,21.3546772003
1632350838291663432,21.3643493652
1632350838302747807,21.374332428
1632350838315779005,21.3856544495
1632350838324376401,21.3974666595
1632350838337724318,21.4107055664
1632350838349107651,21.4232273102
1632350838357287234,21.4348487854
1632350838369253380,21.4466247559
1632350838383122651,21.4595375061
1632350838388968380,21.4723758698
1632350838403148224,21.484046936
1632350838413799109,21.4971027374
1632350838421782026,21.5093383789
1632350838434636974,21.5231590271
1632350838447333380,21.5386104584
1632350838458872547,21.5517787933
1632350838467031453,21.566368103
1632350838479619474,21.5797328949
1632350838491860880,21.5957813263
1632350838501710672,21.6092205048
1632350838513218745,21.6242027283
1632350838525245984,21.6380577087
1632350838533263172,21.6548748016
1632350838545613797,21.6704730988
1632350838557588693,21.6848373413
1632350838569003797,21.7008686066
1632350838578537859,21.7170753479
1632350838590891245,21.7334079742
1632350838601336974,21.7483901978
1632350838612833120,21.7652759552
1632350838622708536,21.7825965881
1632350838636663016,21.8004360199
1632350838644597859,21.8169307709
1632350838654657338,21.8352489471
1632350838668066245,21.8534145355
1632350838677401766,21.8714256287
1632350838687965151,21.8894329071
1632350838700023536,21.9061107635
1632350838714004578,21.9248733521
1632350838722780255,21.9423103333
1632350838734818068,21.9618415833
1632350838746271609,21.9834022522
1632350838757217286,22.0014801025
1632350838766703224,22.0195465088
1632350838778744682,22.03931427
1632350838787425620,22.0608444214
1632350838800208953,22.0807056427
1632350838810834734,22.0991077423
1632350838818617390,22.1180858612
1632350838831947651,22.1416625977
1632350838844826870,22.1640415192
1632350838856600515,22.1847362518
1632350838864644213,22.2054195404
1632350838876852182,22.2279682159
1632350838887785411,22.2520751953
1632350838899475099,22.2739028931
1632350838909049474,22.2938308716
1632350838923184161,22.3161792755
1632350838930694838,22.3370666504
1632350838940887286,22.3627281189
1632350838958042599,22.3843917847
1632350838968143172,22.4083518982
1632350838974324786,22.429889679
1632350838987611193,22.4557800293
1632350839001608953,22.4777641296
1632350839011230724,22.5026168823
1632350839020612807,22.5282096863
1632350839032863328,22.5518608093
1632350839040959786,22.580198288
1632350839057087390,22.6036872864
1632350839064547911,22.6269378662
1632350839073965463,22.6524963379
1632350839085909474,22.6784114838
1632350839097993849,22.7072086334
1632350839105983224,22.7316246033
1632350839119130776,22.7559547424
1632350839129917130,22.7850437164
1632350839143286140,22.8118019104
1632350839152013380,22.836566925
1632350839163064213,22.8618659973
1632350839177071713,22.8901786804
1632350839184533797,22.9213123322
1632350839195095099,22.9497241974
1632350839208533484,22.9754524231
1632350839220536088,23.003780365
1632350839228437026,23.0325374603
1632350839243028067,23.0617847443
1632350839253806297,23.0887470245
1632350839260603797,23.1185741425
1632350839275862234,23.1456565857
1632350839287409474,23.175693512
1632350839295027026,23.2088470459
1632350839307773432,23.2370128632
1632350839317936088,23.2682762146
1632350839329170359,23.2996902466
1632350839341051505,23.3312549591
1632350839352441244,23.3601264954
1632350839363998484,23.3889923096
1632350839371083380,23.4204692841
1632350839383185099,23.451757431
1632350839398204422,23.4857826233
1632350839407270619,23.5117263794
1632350839417071661,23.544336319
1632350839430359630,23.5779533386
1632350839444134838,23.6149806976
1632350839451634578,23.6457233429
1632350839462163067,23.6760616302
1632350839471078171,23.7093200684
1632350839482023953,23.7428913116
1632350839496456974,23.7798042297
1632350839507281088,23.8106651306
1632350839514740776,23.8416442871
1632350839527994838,23.8821620941
1632350839540165099,23.9137897491
1632350839550894942,23.9457817078
1632350839561651453,23.9810657501
1632350839574143328,24.0131340027
1632350839584508484,24.0516796112
1632350839593865828,24.0872955322
1632350839607567078,24.119720459
1632350839617410880,24.1519393921
1632350839626927390,24.187417984
1632350839639612078,24.2268466949
1632350839652765932,24.2607460022
1632350839658952546,24.2986030579
1632350839672256921,24.3330249786
1632350839684285671,24.370721817
1632350839698493171,24.4118080139
1632350839707006348,24.4427433014
1632350839716562234,24.4804210663
1632350839731502078,24.5177745819
1632350839738349421,24.5586357117
1632350839748584994,24.5934429169
1632350839761000203,24.6288433075
1632350839770196453,24.6680660248
1632350839782809734,24.7106971741
1632350839793594317,24.7499103546
1632350839802234317,24.7858409882
1632350839813383119,24.8219165802
1632350839828095098,24.8685188293
1632350839839779630,24.9042892456
1632350839848422859,24.9405231476
1632350839858636401,24.9807071686
1632350839874801713,25.0208568573
1632350839881482078,25.0572071075
1632350839891983796,25.1009483337
1632350839907427182,25.1379814148
1632350839913562598,25.1750297546
1632350839923842182,25.2156867981
1632350839937517234,25.2567749023
1632350839950572911,25.3025150299
1632350839958344421,25.3413906097
1632350839969462963,25.3802490234
1632350839981328380,25.4266643524
1632350839992515046,25.4692325592
1632350840007807859,25.5040225983
1632350840014379890,25.5461006165
1632350840023748588,25.5880813599
1632350840035949578,25.6344966888
1632350840049213484,25.6703529358
1632350840057985932,25.7145004272
1632350840067679005,25.7588500977
1632350840081298744,25.8034324646
1632350840089736453,25.8517398834
1632350840101710932,25.8913516998
1632350840114714682,25.9306373596
1632350840126475827,25.9743442535
1632350840134271557,26.018945694
1632350840145938900,26.0639858246
1632350840158569630,26.1051216125
1632350840166848171,26.1590747833
1632350840180255827,26.2006931305
1632350840191538744,26.2459506989
1632350840207737807,26.2910251617
1632350840211914942,26.3283481598
1632350840224081817,26.3744716644
1632350840236835463,26.4209861755
1632350840245136452,26.4718322754
1632350840258927025,26.5104370117
1632350840268932182,26.5575618744
1632350840278066400,26.604019165
1632350840290772650,26.6546535492
1632350840304861921,26.6976165771
1632350840310483380,26.7412261963
1632350840323242702,26.7898635864
1632350840334080463,26.8439769745
1632350840343400879,26.8940486908
1632350840357115879,26.938785553
1632350840367377702,26.9826641083
1632350840380457182,27.0306758881
1632350840388769838,27.0831394196
1632350840399141244,27.1269454956
1632350840413189994,27.1713581085
1632350840422198067,27.2210502625
1632350840432591036,27.2708072662
1632350840446820619,27.3201847076
1632350840455951504,27.3653297424
1632350840464444317,27.4240646362
1632350840479462963,27.4690513611
1632350840491421557,27.5187225342
1632350840499999838,27.5690402985
1632350840510565463,27.6149559021
1632350840523055307,27.6609802246
